gene,condition,th2_z,th1_z,hardened_pass,donor_evidence,stability_score,atlas_class,coherence,coh_z_vs_null,drug_tier,drug_class,ubiquitin_system,validity,novelty,priority
RBCK1,Stim48hr,-2.079682373974454,0.5406175450361583,True,robust,0.375,moderate,0.032,-0.75,1,TF (hard),True,3.8949205934936133,0.5,3.22119044512021
E2F3,Rest,-2.0659355643465798,-0.7393032352406984,True,untested,0.375,novel_selective,0.022,-0.95,1,TF (hard),False,2.891483891086645,1.0,3.1914838910866448
SEC24A,Stim48hr,-2.6977311136313,-0.8696687610246154,True,robust,0.5625,moderate,0.028,-0.83,0,unannotated,False,4.236932778407825,0.5,3.1776995838058686
GATA3,Stim8hr,-3.8717660085082395,-0.6536534904185922,True,robust,0.75,concordant,1.0,17.65,1,TF (hard),False,5.21794150212706,0.1,3.1698678261698827
RABEPK,Rest,-2.910096310938574,-0.8558630927976019,True,untested,0.5625,not_in_atlas,0.169,1.85,0,unannotated,False,3.5212740777346436,0.8,3.1691466699611794
SCAF1,Stim8hr,-2.6466650851943228,-0.4457825502956669,True,untested,0.75,not_in_atlas,0.107,0.67,0,unannotated,False,3.495416271298581,0.8,3.145874644168723
NDFIP2,Stim48hr,-2.480340827290894,-0.5220270846860201,True,robust,0.375,moderate,0.15,1.49,0,unannotated,True,4.181335206822723,0.5,3.1360014051170424
POU2AF1,Stim8hr,-2.3032811612062605,-0.16559374583614606,True,untested,0.5,not_in_atlas,0.073,0.03,1,TF (hard),False,3.0795702903015654,0.8,3.0716132612714087
P4HB,Stim8hr,-2.3130270700750013,0.3870068808924587,True,robust,0.5,moderate,0.059,-0.25,0,unannotated,False,4.07825676751875,0.5,3.058692575639063
MIA2,Rest,-2.2708400794838743,-0.5627756322899645,True,robust,0.375,moderate,0.117,0.87,0,unannotated,False,4.0514600198709685,0.5,3.038595014903226
DCAF7,Stim48hr,-2.2247755393451167,-0.6842277865558618,True,untested,0.375,novel_selective,0.106,0.65,0,unannotated,False,3.012443884836279,1.0,3.012443884836279
MYO9A,Stim8hr,-2.308224734317819,-0.7993434816614547,True,robust,0.375,moderate,0.093,0.4,0,unannotated,False,4.002056183579454,0.5,3.0015421376845905
SRD5A3,Rest,-2.0478963244373505,0.9824935454919677,True,robust,0.375,moderate,0.119,0.9,0,unannotated,False,3.999474081109337,0.5,2.999605560832003
ZFYVE1,Stim48hr,-2.8832157729222114,-0.9543282070674162,True,untested,0.5625,not_in_atlas,0.082,0.2,0,unannotated,False,3.3083039432305528,0.8,2.9774735489074975
BRPF1,Rest,-2.2564683079520584,0.6309586259462197,True,robust,0.375,moderate,0.074,0.05,0,unannotated,False,3.9453670769880147,0.5,2.959025307741011
PPT1,Stim8hr,-2.745535959281356,-0.7791482326979959,True,untested,0.5625,not_in_atlas,0.067,-0.09,0,unannotated,False,3.2488839898203388,0.8,2.923995590838305
TECPR1,Rest,-2.0271795938345054,0.15595585194462075,True,untested,0.5,not_in_atlas,0.169,1.85,0,unannotated,False,3.2380448984586265,0.8,2.914240408612764
USP33,Rest,-2.1041293221261173,0.4306639958921496,True,untested,0.5,not_in_atlas,0.158,1.65,0,unannotated,False,3.232282330531529,0.8,2.9090540974783763
TRIM56,Stim8hr,-2.1149904036738003,-0.28596721981711404,True,untested,0.5,not_in_atlas,0.141,1.32,0,unannotated,True,3.1937476009184502,0.8,2.8743728408266054
TGOLN2,Stim8hr,-2.125254846540074,-0.46473492014263107,True,untested,0.5,not_in_atlas,0.138,1.25,0,unannotated,False,3.1875637116350184,0.8,2.8688073404715166
ARL6IP4,Rest,-2.2325644802400015,-0.24020895078618362,True,untested,0.5,not_in_atlas,0.125,1.03,0,unannotated,False,3.1868911200600003,0.8,2.8682020080540003
TFAP4,Stim48hr,-2.6677636030210694,0.4287534990303889,True,robust,0.75,concordant,0.178,2.02,1,TF (hard),False,4.6694409007552675,0.1,2.8681924954153972
PLEKHA2,Rest,-2.427587151896545,-0.1750338485752205,True,untested,0.5,not_in_atlas,0.094,0.43,0,unannotated,False,3.1606467879741365,0.8,2.8445821091767227
RABGAP1,Rest,-2.428748749047172,-0.48524326665187967,True,untested,0.5,not_in_atlas,0.068,-0.07,0,unannotated,False,3.107187187261793,0.8,2.796468468535614
PDIA5,Rest,-2.4010337034645635,0.12000803595616802,True,untested,0.5,not_in_atlas,0.044,-0.52,0,unannotated,False,3.1002584258661408,0.8,2.790232583279527
SHPRH,Rest,-2.1978088774364988,-0.9737171571220502,True,untested,0.375,not_in_atlas,0.141,1.31,0,unannotated,False,3.0882022193591245,0.8,2.7793819974232123
TMEM200A,Stim8hr,-2.3224075121658143,-0.4402856946182662,True,untested,0.5,not_in_atlas,0.038,-0.64,0,unannotated,False,3.0806018780414535,0.8,2.772541690237308
NUDT8,Stim48hr,-2.3128015140475533,-0.4398875002696766,True,untested,0.5,not_in_atlas,0.052,-0.36,0,unannotated,False,3.0782003785118883,0.8,2.7703803406606995
CD96,Stim48hr,-2.005476808605243,-0.5299485102798366,True,untested,0.375,not_in_atlas,0.156,1.6,0,unannotated,False,3.076369202151311,0.8,2.7687322819361797
DAZAP2,Stim48hr,-2.006702738140797,-0.4058865858237239,True,untested,0.5,not_in_atlas,0.098,0.5,0,unannotated,False,3.0641756845351993,0.8,2.7577581160816793
CHI3L2,Stim48hr,-2.2056136151872257,-0.15681268039348653,True,untested,0.5,not_in_atlas,0.005,-1.27,0,unannotated,False,3.0514034037968063,0.8,2.7462630634171257
ERLIN1,Stim48hr,-2.034850638803778,-0.14701675338035414,True,untested,0.5,not_in_atlas,0.085,0.25,0,unannotated,False,3.0399626597009446,0.8,2.73596639373085
IFI16,Rest,-2.0432616951236966,-0.6962021384002341,True,untested,0.375,not_in_atlas,0.136,1.23,0,unannotated,False,3.039565423780924,0.8,2.7356088814028316
FKBP3,Stim48hr,-2.1251001575527817,-0.39736764014843406,True,untested,0.5,not_in_atlas,0.064,-0.15,0,unannotated,False,3.0312750393881953,0.8,2.728147535449376
